instructorID,courseID,W_rate
I27,3130,15.00%
I17,3130,7.46%
I18,3130,12.74%
I14,3115,1.22%
I27,3115,5.07%
I06,3115,7.25%
I28,3115,20.00%
I11,3115,16.13%
I03,3130,2.50%
I19,3130,5.15%
I21,3115,21.39%
I24,3115,8.57%
I10,3115,2.16%
I07,3115,5.71%
I21,1115,21.11%
I08,1115,20.96%
I28,1115,28.84%
I19,3115,3.57%
I23,1115,11.67%
I12,1115,20.95%
I01,1115,21.13%
I18,1115,15.74%
I15,3115,9.94%
I26,1115,16.67%
I16,1115,21.47%
I20,1115,14.58%
I02,1115,14.00%
I22,1115,5.66%
I22,3115,22.86%
I14,1115,8.72%
I07,3130,4.68%
I04,1115,13.64%
I25,1115,13.33%
I23,3115,9.90%
