instructorID,courseID,pass_rate
I22,1115,79.25%
I26,1115,66.67%
I19,3115,77.86%
I15,3115,68.42%
I06,3115,75.36%
I14,1115,70.47%
I28,3115,43.00%
I11,3115,61.29%
I22,3115,68.57%
I07,3130,88.89%
I07,3115,88.57%
I24,3115,82.86%
I10,3115,87.77%
I27,3115,84.06%
I23,3115,79.21%
I25,1115,63.33%
I14,3115,93.90%
I18,3130,59.55%
I19,3130,78.87%
I01,1115,57.36%
I18,1115,53.62%
I21,3115,61.27%
I17,3130,67.16%
I28,1115,29.26%
I27,3130,82.50%
I03,3130,90.00%
I16,1115,43.91%
I12,1115,56.08%
I23,1115,70.00%
I04,1115,35.23%
I08,1115,39.09%
I21,1115,46.11%
I20,1115,59.58%
I02,1115,44.00%
